scan_date,playbook,lane_label,ticker,direction,contract_symbol,short_contract_symbol,expiry,strike,short_strike,dte,net_debit,date_selected_count,date_duplicate_count
2026-05-26,bullish_pullback_observation,Bullish Pullback,UNH,call,UNH260702C00390000,UNH260702C00425000,2026-07-02,390.0,425.0,37,7.714,2,0
2026-05-26,bullish_pullback_observation,Bullish Pullback,PM,call,PM260626C00195000,PM260626C00210000,2026-06-26,195.0,210.0,31,3.905,2,0
2026-05-27,bullish_pullback_observation,Bullish Pullback,GOOGL,call,GOOGL260702C00395000,GOOGL260702C00430000,2026-07-02,395.0,430.0,36,12.8925,2,0
2026-05-27,bullish_pullback_observation,Bullish Pullback,KO,call,KO260702C00082000,KO260702C00086000,2026-07-02,82.0,86.0,36,1.755,2,0
2026-05-28,bullish_pullback_observation,Bullish Pullback,UNH,call,UNH260702C00390000,UNH260702C00425000,2026-07-02,390.0,425.0,35,12.7295,2,0
2026-05-28,bullish_pullback_observation,Bullish Pullback,V,call,V260702C00330000,V260702C00355000,2026-07-02,330.0,355.0,35,7.8175,2,0
2026-05-29,bullish_pullback_observation,Bullish Pullback,UNH,call,UNH260702C00390000,UNH260702C00425000,2026-07-02,390.0,425.0,34,7.9925,1,0
2026-06-01,bullish_pullback_observation,Bullish Pullback,UNH,call,UNH260702C00380000,UNH260702C00415000,2026-07-02,380.0,415.0,31,15.1125,2,0
2026-06-01,bullish_pullback_observation,Bullish Pullback,NVDA,call,NVDA260702C00220000,NVDA260702C00240000,2026-07-02,220.0,240.0,31,7.695,2,0
2026-06-02,bullish_pullback_observation,Bullish Pullback,AAPL,call,AAPL260710C00310000,AAPL260710C00330000,2026-07-10,310.0,330.0,38,7.7145,2,0
2026-06-02,bullish_pullback_observation,Bullish Pullback,TSLA,call,TSLA260702C00425000,TSLA260702C00465000,2026-07-02,425.0,465.0,30,12.5475,2,0
2026-06-03,bullish_pullback_observation,Bullish Pullback,TSLA,call,TSLA260710C00425000,TSLA260710C00465000,2026-07-10,425.0,465.0,37,17.1525,2,0
2026-06-03,bullish_pullback_observation,Bullish Pullback,LLY,call,LLY260702C01075000,LLY260702C01155000,2026-07-02,1075.0,1155.0,29,38.37,2,0
2026-06-04,bullish_pullback_observation,Bullish Pullback,LLY,call,LLY260710C01130000,LLY260710C01240000,2026-07-10,1130.0,1240.0,36,44.335,2,0
2026-06-04,bullish_pullback_observation,Bullish Pullback,AAPL,call,AAPL260710C00315000,AAPL260710C00335000,2026-07-10,315.0,335.0,36,6.7115,2,0
2026-05-26,tracked_winner_primary,Tracked Winner,XLK,call,XLK260626C00185000,XLK260626C00200000,2026-06-26,185.0,200.0,31,5.8065,2,0
2026-05-26,tracked_winner_primary,Tracked Winner,DIA,call,DIA260630C00510000,DIA260630C00530000,2026-06-30,510.0,530.0,35,6.56,2,0
2026-05-27,tracked_winner_primary,Tracked Winner,XLK,call,XLK260626C00187000,XLK260626C00200000,2026-06-26,187.0,200.0,30,4.9825,2,0
2026-05-27,tracked_winner_primary,Tracked Winner,DIA,call,DIA260630C00510000,DIA260630C00525000,2026-06-30,510.0,525.0,34,5.944,2,0
2026-05-28,tracked_winner_primary,Tracked Winner,XLK,call,XLK260626C00186000,XLK260626C00200000,2026-06-26,186.0,200.0,29,5.3075,3,0
2026-05-28,tracked_winner_primary,Tracked Winner,DIA,call,DIA260630C00510000,DIA260630C00525000,2026-06-30,510.0,525.0,33,4.8275,3,0
2026-05-28,tracked_winner_primary,Tracked Winner,SPY,call,SPY260626C00761000,SPY260626C00770000,2026-06-26,761.0,770.0,29,3.579,3,0
2026-05-29,tracked_winner_primary,Tracked Winner,XLK,call,XLK260710C00192000,XLK260710C00210000,2026-07-10,192.0,210.0,42,6.8175,2,0
2026-05-29,tracked_winner_primary,Tracked Winner,DIA,call,DIA260630C00510000,DIA260630C00530000,2026-06-30,510.0,530.0,32,6.6735,2,0
2026-06-01,tracked_winner_primary,Tracked Winner,XLK,call,XLK260710C00196000,XLK260710C00215000,2026-07-10,196.0,215.0,39,7.004,3,0
2026-06-01,tracked_winner_primary,Tracked Winner,SPY,call,SPY260630C00768000,SPY260630C00775000,2026-06-30,768.0,775.0,29,2.799,3,0
2026-06-01,tracked_winner_primary,Tracked Winner,DIA,call,DIA260702C00512000,DIA260702C00530000,2026-07-02,512.0,530.0,31,6.5595,3,0
2026-06-02,tracked_winner_primary,Tracked Winner,XLK,call,XLK260710C00198000,XLK260710C00215000,2026-07-10,198.0,215.0,38,6.7135,3,0
2026-06-02,tracked_winner_primary,Tracked Winner,SPY,call,SPY260630C00767000,SPY260630C00777000,2026-06-30,767.0,777.0,28,3.9485,3,0
2026-06-02,tracked_winner_primary,Tracked Winner,DIA,call,DIA260710C00512000,DIA260710C00530000,2026-07-10,512.0,530.0,38,7.059,3,0
2026-06-03,tracked_winner_primary,Tracked Winner,XLK,call,XLK260702C00200000,XLK260702C00215000,2026-07-02,200.0,215.0,29,5.3635,3,0
2026-06-03,tracked_winner_primary,Tracked Winner,SPY,call,SPY260702C00764000,SPY260702C00778000,2026-07-02,764.0,778.0,29,5.555,3,0
2026-06-03,tracked_winner_primary,Tracked Winner,DIA,call,DIA260710C00514000,DIA260710C00530000,2026-07-10,514.0,530.0,37,6.1905,3,0
2026-06-04,tracked_winner_primary,Tracked Winner,XLK,call,XLK260710C00193000,XLK260710C00210000,2026-07-10,193.0,210.0,36,6.5095,2,0
2026-06-04,tracked_winner_primary,Tracked Winner,SPY,call,SPY260702C00763000,SPY260702C00772000,2026-07-02,763.0,772.0,28,3.5965,2,0
2026-05-22,short_term,Short-Term,V,call,V260529C00330000,V260529C00345000,2026-05-29,330.0,345.0,7,4.95,3,3
2026-05-22,short_term,Short-Term,SLB,call,SLB260529C00057000,SLB260529C00059000,2026-05-29,57.0,59.0,7,1.0525,3,3
2026-05-22,short_term,Short-Term,DIA,call,DIA260529C00507500,DIA260529C00515000,2026-05-29,507.5,515.0,7,2.7145,3,3
2026-05-26,short_term,Short-Term,SLB,call,SLB260605C00057000,SLB260605C00060000,2026-06-05,57.0,60.0,10,1.7565,7,0
2026-05-26,short_term,Short-Term,AMD,call,AMD260605C00490000,AMD260605C00530000,2026-06-05,490.0,530.0,10,17.0375,7,0
2026-05-26,short_term,Short-Term,XLK,call,XLK260605C00184000,XLK260605C00190000,2026-06-05,184.0,190.0,10,3.25,7,0
2026-05-26,short_term,Short-Term,IWM,call,IWM260603C00289000,IWM260603C00297000,2026-06-03,289.0,297.0,8,3.682,7,0
2026-05-26,short_term,Short-Term,DIA,call,DIA260605C00508000,DIA260605C00518000,2026-06-05,508.0,518.0,10,3.747,7,0
2026-05-26,short_term,Short-Term,SPY,call,SPY260602C00751000,SPY260602C00762000,2026-06-02,751.0,762.0,7,4.7005,7,0
2026-05-26,short_term,Short-Term,QQQ,call,QQQ260602C00727000,QQQ260602C00743000,2026-06-02,727.0,743.0,7,7.0315,7,0
2026-05-27,short_term,Short-Term,TSLA,call,TSLA260603C00445000,TSLA260603C00470000,2026-06-03,445.0,470.0,7,6.7135,7,0
2026-05-27,short_term,Short-Term,XLK,call,XLK260605C00187000,XLK260605C00193000,2026-06-05,187.0,193.0,9,3.028,7,0
2026-05-27,short_term,Short-Term,IWM,call,IWM260603C00292000,IWM260603C00299000,2026-06-03,292.0,299.0,7,2.484,7,0
2026-05-27,short_term,Short-Term,C,call,C260605C00127000,C260605C00132000,2026-06-05,127.0,132.0,9,1.5895,7,0
2026-05-27,short_term,Short-Term,QQQ,call,QQQ260603C00734000,QQQ260603C00750000,2026-06-03,734.0,750.0,7,4.953,7,0
2026-05-27,short_term,Short-Term,SPY,call,SPY260603C00752000,SPY260603C00763000,2026-06-03,752.0,763.0,7,4.05,7,0
2026-05-27,short_term,Short-Term,DIA,call,DIA260605C00507000,DIA260605C00516000,2026-06-05,507.0,516.0,9,3.9825,7,0
2026-05-28,short_term,Short-Term,TSLA,call,TSLA260605C00440000,TSLA260605C00467500,2026-06-05,440.0,467.5,8,8.4,7,0
2026-05-28,short_term,Short-Term,XLK,call,XLK260605C00185000,XLK260605C00191000,2026-06-05,185.0,191.0,8,2.9145,7,0
2026-05-28,short_term,Short-Term,AMZN,call,AMZN260603C00272500,AMZN260603C00280000,2026-06-03,272.5,280.0,6,1.729,7,0
2026-05-28,short_term,Short-Term,IWM,call,IWM260603C00290000,IWM260603C00297000,2026-06-03,290.0,297.0,6,1.9775,7,0
2026-05-28,short_term,Short-Term,QQQ,call,QQQ260604C00731000,QQQ260604C00747000,2026-06-04,731.0,747.0,7,5.9665,7,0
2026-05-28,short_term,Short-Term,DIA,call,DIA260605C00506000,DIA260605C00515000,2026-06-05,506.0,515.0,8,3.0195,7,0
2026-05-28,short_term,Short-Term,SPY,call,SPY260604C00751000,SPY260604C00762000,2026-06-04,751.0,762.0,7,4.3215,7,0
2026-05-29,short_term,Short-Term,TSLA,call,TSLA260605C00440000,TSLA260605C00465000,2026-06-05,440.0,465.0,7,6.2575,7,0
2026-05-29,short_term,Short-Term,SMCI,call,SMCI260605C00045500,SMCI260605C00049500,2026-06-05,45.5,49.5,7,2.2135,7,0
2026-05-29,short_term,Short-Term,XLK,call,XLK260605C00190000,XLK260605C00195000,2026-06-05,190.0,195.0,7,3.036,7,0
2026-05-29,short_term,Short-Term,IWM,call,IWM260605C00292000,IWM260605C00299000,2026-06-05,292.0,299.0,7,2.051,7,0
2026-05-29,short_term,Short-Term,QQQ,call,QQQ260605C00739000,QQQ260605C00755000,2026-06-05,739.0,755.0,7,7.0075,7,0
2026-05-29,short_term,Short-Term,SPY,call,SPY260605C00757000,SPY260605C00767000,2026-06-05,757.0,767.0,7,4.4205,7,0
2026-05-29,short_term,Short-Term,DIA,call,DIA260605C00508000,DIA260605C00516000,2026-06-05,508.0,516.0,7,3.407,7,0
2026-06-01,short_term,Short-Term,FCX,call,FCX260612C00066000,FCX260612C00072000,2026-06-12,66.0,72.0,11,2.403,7,0
2026-06-01,short_term,Short-Term,XLK,call,XLK260612C00193000,XLK260612C00200000,2026-06-12,193.0,200.0,11,4.195,7,0
2026-06-01,short_term,Short-Term,BA,call,BA260612C00230000,BA260612C00245000,2026-06-12,230.0,245.0,11,3.22,7,0
2026-06-01,short_term,Short-Term,QQQ,call,QQQ260608C00738000,QQQ260608C00754000,2026-06-08,738.0,754.0,7,6.576,7,0
2026-06-01,short_term,Short-Term,IWM,call,IWM260609C00289000,IWM260609C00297000,2026-06-09,289.0,297.0,8,2.5885,7,0
2026-06-01,short_term,Short-Term,SPY,call,SPY260608C00756000,SPY260608C00767000,2026-06-08,756.0,767.0,7,4.742,7,0
2026-06-01,short_term,Short-Term,DIA,call,DIA260612C00511000,DIA260612C00521000,2026-06-12,511.0,521.0,11,4.009,7,0
2026-06-02,short_term,Short-Term,FCX,call,FCX260612C00069000,FCX260612C00075000,2026-06-12,69.0,75.0,10,2.8725,7,0
2026-06-02,short_term,Short-Term,XLK,call,XLK260612C00197000,XLK260612C00205000,2026-06-12,197.0,205.0,10,3.985,7,0
2026-06-02,short_term,Short-Term,NVDA,call,NVDA260610C00227500,NVDA260610C00242500,2026-06-10,227.5,242.5,8,5.679,7,0
2026-06-02,short_term,Short-Term,QQQ,call,QQQ260608C00743000,QQQ260608C00758000,2026-06-08,743.0,758.0,6,6.5675,7,0
2026-06-02,short_term,Short-Term,SPY,call,SPY260609C00758000,SPY260609C00768000,2026-06-09,758.0,768.0,7,4.3385,7,0
2026-06-02,short_term,Short-Term,DIA,call,DIA260612C00510000,DIA260612C00519000,2026-06-12,510.0,519.0,10,4.0535,7,0
2026-06-02,short_term,Short-Term,IWM,call,IWM260609C00289000,IWM260609C00296000,2026-06-09,289.0,296.0,7,3.294,7,0
2026-06-03,short_term,Short-Term,FCX,call,FCX260612C00072000,FCX260612C00079000,2026-06-12,72.0,79.0,9,2.007,7,0
2026-06-03,short_term,Short-Term,XLK,call,XLK260612C00199000,XLK260612C00205000,2026-06-12,199.0,205.0,9,2.8475,7,0
2026-06-03,short_term,Short-Term,C,call,C260612C00131000,C260612C00136000,2026-06-12,131.0,136.0,9,1.944,7,0
2026-06-03,short_term,Short-Term,QQQ,call,QQQ260610C00748000,QQQ260610C00764000,2026-06-10,748.0,764.0,7,5.696,7,0
2026-06-03,short_term,Short-Term,SPY,call,SPY260610C00759000,SPY260610C00769000,2026-06-10,759.0,769.0,7,3.5275,7,0
2026-06-03,short_term,Short-Term,DIA,call,DIA260612C00512000,DIA260612C00520000,2026-06-12,512.0,520.0,9,3.217,7,0
2026-06-03,short_term,Short-Term,IWM,call,IWM260610C00290000,IWM260610C00298000,2026-06-10,290.0,298.0,7,2.418,7,0
2026-06-04,short_term,Short-Term,FCX,call,FCX260612C00071000,FCX260612C00077000,2026-06-12,71.0,77.0,8,2.485,5,0
2026-06-04,short_term,Short-Term,XLK,call,XLK260612C00192000,XLK260612C00199000,2026-06-12,192.0,199.0,8,3.334,5,0
2026-06-04,short_term,Short-Term,AA,call,AA260612C00080000,AA260612C00086000,2026-06-12,80.0,86.0,8,2.4655,5,0
2026-06-04,short_term,Short-Term,QQQ,call,QQQ260611C00736000,QQQ260611C00752000,2026-06-11,736.0,752.0,7,5.9515,5,0
2026-06-04,short_term,Short-Term,SPY,call,SPY260611C00753000,SPY260611C00763000,2026-06-11,753.0,763.0,7,4.334,5,0
2026-05-26,swing,Swing,PLD,call,PLD260618C00150000,PLD260618C00155000,2026-06-18,150.0,155.0,23,1.82,7,0
2026-05-26,swing,Swing,SLB,call,SLB260618C00057500,SLB260618C00061000,2026-06-18,57.5,61.0,23,1.804,7,0
2026-05-26,swing,Swing,XLK,call,XLK260618C00184000,XLK260618C00195000,2026-06-18,184.0,195.0,23,5.098,7,0
2026-05-26,swing,Swing,IWM,call,IWM260618C00290000,IWM260618C00305000,2026-06-18,290.0,305.0,23,5.8715,7,0
2026-05-26,swing,Swing,DIA,call,DIA260618C00509000,DIA260618C00525000,2026-06-18,509.0,525.0,23,5.61,7,0
2026-05-26,swing,Swing,SPY,call,SPY260612C00752000,SPY260612C00769000,2026-06-12,752.0,769.0,17,7.4225,7,0
2026-05-26,swing,Swing,QQQ,call,QQQ260612C00728000,QQQ260612C00745000,2026-06-12,728.0,745.0,17,8.704,7,0
2026-05-27,swing,Swing,TSLA,call,TSLA260618C00447500,TSLA260618C00490000,2026-06-18,447.5,490.0,22,12.165,7,0
2026-05-27,swing,Swing,XLK,call,XLK260618C00187000,XLK260618C00197500,2026-06-18,187.0,197.5,22,4.1845,7,0
2026-05-27,swing,Swing,IWM,call,IWM260618C00292000,IWM260618C00306000,2026-06-18,292.0,306.0,22,5.054,7,0
2026-05-27,swing,Swing,C,call,C260618C00128000,C260618C00135000,2026-06-18,128.0,135.0,22,2.2555,7,0
2026-05-27,swing,Swing,QQQ,call,QQQ260612C00735000,QQQ260612C00752000,2026-06-12,735.0,752.0,16,6.9805,7,0
2026-05-27,swing,Swing,SPY,call,SPY260618C00753000,SPY260618C00770000,2026-06-18,753.0,770.0,22,7.329,7,0
2026-05-27,swing,Swing,DIA,call,DIA260618C00508000,DIA260618C00522000,2026-06-18,508.0,522.0,22,5.8085,7,0
2026-05-28,swing,Swing,TSLA,call,TSLA260618C00442500,TSLA260618C00485000,2026-06-18,442.5,485.0,21,12.99,7,0
2026-05-28,swing,Swing,XLK,call,XLK260618C00186000,XLK260618C00195000,2026-06-18,186.0,195.0,21,4.5875,7,0
2026-05-28,swing,Swing,AMZN,call,AMZN260618C00272500,AMZN260618C00287500,2026-06-18,272.5,287.5,21,4.6865,7,0
